date,open,high,low,close,adj close,first_diff,pc_change,year,month,day,day_of_week
2000-01-03,1469.25,1478.0,1438.359985,1455.219971,1455.219971,0.0,0.0,2000,1,3,0
2000-01-04,1455.219971,1455.219971,1397.430054,1399.420044,1399.420044,-55.799927000000025,-3.834466823710192,2000,1,4,1
2000-01-05,1399.420044,1413.27002,1377.680054,1402.109985,1402.109985,2.68994100000009,0.19221827009932024,2000,1,5,2
2000-01-06,1402.109985,1411.900024,1392.099976,1403.449951,1403.449951,1.339966000000004,0.09556782380377715,2000,1,6,3
2000-01-07,1403.449951,1441.469971,1400.72998,1441.469971,1441.469971,38.02001999999993,2.7090399606277016,2000,1,7,4
2000-01-10,1441.469971,1464.359985,1441.469971,1457.599976,1457.599976,16.130004999999983,1.1189969492607643,2000,1,10,0
2000-01-11,1457.599976,1458.660034,1434.420044,1438.560059,1438.560059,-19.03991700000006,-1.306251187808749,2000,1,11,1
2000-01-12,1438.560059,1442.599976,1427.079956,1432.25,1432.25,-6.31005899999991,-0.4386371608555817,2000,1,12,2
2000-01-13,1432.25,1454.199951,1432.25,1449.680054,1449.680054,17.430053999999927,1.2169700820387375,2000,1,13,3
2000-01-14,1449.680054,1473.0,1449.680054,1465.150024,1465.150024,15.469970000000103,1.067129947557377,2000,1,14,4
2000-01-18,1465.150024,1465.150024,1451.300049,1455.140015,1455.140015,-10.010009000000082,-0.6832071007084828,2000,1,18,1
2000-01-19,1455.140015,1461.390015,1448.680054,1455.900024,1455.900024,0.7600090000000819,0.05222926949748352,2000,1,19,2
2000-01-20,1455.900024,1465.709961,1438.540039,1445.569946,1445.569946,-10.330077999999958,-0.7095320990255005,2000,1,20,3
2000-01-21,1445.569946,1453.180054,1439.599976,1441.359985,1441.359985,-4.209961000000021,-0.29123191248194846,2000,1,21,4
2000-01-24,1441.359985,1454.089966,1395.420044,1401.530029,1401.530029,-39.82995600000004,-2.7633593560598246,2000,1,24,0
2000-01-25,1401.530029,1414.26001,1388.48999,1410.030029,1410.030029,8.5,0.6064800485270139,2000,1,25,1
2000-01-26,1410.030029,1412.72998,1400.160034,1404.089966,1404.089966,-5.940063000000009,-0.4212720919293256,2000,1,26,2
