date,open,high,low,close,first_diff,pc_change,year,month,day_of_week,day
2000-01-03,5209.54,5384.66,5209.54,5375.11,0.0,0.0,2000,1,0,3
2000-01-04,5533.98,5533.98,5376.43,5491.01,115.90000000000055,2.1562349421686333,2000,1,1,4
2000-01-05,5265.09,5464.35,5184.48,5357.0,-134.01000000000022,-2.4405346193141164,2000,1,2,5
2000-01-06,5424.21,5489.86,5391.33,5421.53,64.52999999999975,1.2045921224566047,2000,1,3,6
2000-01-07,5358.28,5463.25,5330.58,5414.48,-7.050000000000182,-0.13003709285017706,2000,1,4,7
2000-01-10,5617.59,5668.28,5459.97,5518.39,103.91000000000076,1.9191131927719818,2000,1,0,10
2000-01-11,5513.04,5537.69,5221.28,5296.3,-222.09000000000015,-4.024543390372914,2000,1,1,11
2000-01-12,5267.85,5494.3,5267.85,5491.2,194.89999999999964,3.6799274965541917,2000,1,2,12
2000-01-13,5568.64,5652.22,5430.81,5444.82,-46.38000000000011,-0.8446241258741272,2000,1,3,13
2000-01-14,5460.31,5476.38,5344.59,5471.27,26.450000000000728,0.48578281743014706,2000,1,4,14
2000-01-17,5617.7,5664.5,5404.07,5404.07,-67.20000000000073,-1.228234029759101,2000,1,0,17
2000-01-18,5414.26,5465.54,5347.92,5464.51,60.44000000000051,1.1184163047480933,2000,1,1,18
2000-01-19,5496.68,5528.12,5460.68,5478.24,13.729999999999563,0.25125766079665546,2000,1,2,19
2000-01-20,5508.04,5516.16,5348.56,5355.8,-122.4399999999996,-2.2350243873944797,2000,1,3,20
2000-01-21,5352.63,5441.83,5330.08,5423.05,67.25,1.255648082452665,2000,1,4,21
2000-01-24,5529.38,5583.22,5439.48,5458.06,35.01000000000022,0.645577673080644,2000,1,0,24
2000-01-25,5412.49,5430.29,5351.22,5367.79,-90.27000000000044,-1.6538843471856413,2000,1,1,25
2000-01-27,5424.14,5457.3,5362.25,5369.1,1.3100000000004002,0.024404829548108076,2000,1,3,27
2000-01-28,5417.53,5417.53,5331.54,5335.8,-33.30000000000018,-0.6202156786053514,2000,1,4,28
2000-01-31,5338.67,5345.3,5186.32,5205.29,-130.51000000000022,-2.445931256793732,2000,1,0,31
2000-02-01,5217.65,5232.84,5127.79,5215.54,10.25,0.19691506140868675,2000,2,1,1
2000-02-02,5264.62,5342.98,5264.62,5304.92,89.38000000000011,1.7137247533333122,2000,2,2,2
2000-02-03,5366.62,5381.74,5323.32,5340.19,35.26999999999953,0.6648545124148919,2000,2,3,3
2000-02-04,5394.0,5402.7,5313.59,5313.59,-26.599999999999454,-0.498109617822573,2000,2,4,4
2000-02-07,5431.55,5518.29,5431.55,5474.0,160.40999999999985,3.0188629532952316,2000,2,0,7
2000-02-08,5585.38,5647.64,5585.38,5610.56,136.5600000000004,2.4947022287175713,2000,2,1,8
2000-02-09,5704.01,5756.87,5635.69,5649.1,38.539999999999964,0.6869189528317943,2000,2,2,9
2000-02-10,5765.28,5789.04,5715.05,5789.04,139.9399999999996,2.4772087589173486,2000,2,3,10
2000-02-11,5985.05,6005.85,5917.04,5933.56,144.52000000000044,2.4964415516216976,2000,2,4,11
2000-02-14,6130.23,6150.69,5923.17,5924.31,-9.25,-0.15589292094458918,2000,2,0,14
2000-02-15,5797.31,5941.88,5774.32,5803.19,-121.1200000000008,-2.0444574980040042,2000,2,1,15
2000-02-16,5782.2,5864.97,5711.75,5725.5,-77.6899999999996,-1.3387464480742461,2000,2,2,16
2000-02-17,5810.24,5877.04,5799.79,5835.15,109.64999999999964,1.9151165837044681,2000,2,3,17
2000-02-18,5894.19,5894.19,5681.98,5721.65,-113.5,-1.9451085233455845,2000,2,4,18
2000-02-21,5874.25,5941.9,5834.51,5876.89,155.2400000000007,2.7132033591708904,2000,2,0,21
2000-02-22,6000.3,6009.02,5864.79,5883.33,6.4399999999996,0.10958176858848478,2000,2,1,22
2000-02-23,6002.49,6033.98,5612.55,5642.46,-240.8699999999999,-4.0941099683342586,2000,2,2,23
2000-02-24,5764.16,5816.16,5620.83,5810.17,167.71000000000004,2.9722851380426185,2000,2,3,24
2000-02-25,5840.25,5840.25,5623.08,5623.08,-187.09000000000015,-3.220043475492118,2000,2,4,25
2000-02-28,5737.53,5740.69,5580.05,5740.69,117.60999999999967,2.091558363032364,2000,2,0,28
2000-02-29,5827.81,5903.49,5383.61,5446.98,-293.71000000000004,-5.116283931025711,2000,2,1,29
2000-03-01,5464.65,5681.11,5341.61,5642.12,195.14000000000033,3.5825356436043565,2000,3,2,1
2000-03-02,5803.33,5828.79,5528.31,5528.31,-113.80999999999949,-2.0171495820719754,2000,3,3,2
2000-03-03,5602.94,5602.94,5362.8,5378.27,-150.03999999999996,-2.7140301466451744,2000,3,4,3
2000-03-06,5662.29,5692.97,5459.61,5520.69,142.41999999999916,2.648063410724988,2000,3,0,6
2000-03-07,5674.99,5674.99,5525.89,5589.85,69.16000000000076,1.2527419579799082,2000,3,1,7
2000-03-08,5711.88,5783.51,5439.14,5511.42,-78.43000000000029,-1.4030787946009315,2000,3,2,8
2000-03-09,5579.87,5607.94,5278.68,5328.79,-182.6300000000001,-3.3136650808684553,2000,3,3,9
2000-03-10,5384.42,5478.97,5196.72,5301.78,-27.01000000000022,-0.506869289275802,2000,3,4,10
2000-03-13,5372.82,5430.87,5100.62,5129.22,-172.5599999999995,-3.2547559498885215,2000,3,0,13
2000-03-14,5020.55,5177.55,4943.3,5175.71,46.48999999999978,0.9063756282631674,2000,3,1,14
2000-03-15,5067.42,5339.94,5045.99,5249.76,74.05000000000018,1.4307215821597552,2000,3,2,15
2000-03-16,5249.98,5301.44,5077.33,5102.41,-147.35000000000036,-2.8067949772942025,2000,3,3,16
2000-03-21,5177.59,5230.36,5085.53,5133.24,30.829999999999927,0.6042242783312224,2000,3,1,21
2000-03-22,5204.07,5247.28,5159.36,5201.87,68.63000000000011,1.3369723605364259,2000,3,2,22
2000-03-23,5314.32,5314.32,5088.1,5115.02,-86.84999999999945,-1.669591896760192,2000,3,3,23
2000-03-24,5083.17,5203.93,5052.74,5141.42,26.399999999999636,0.5161270141661234,2000,3,4,24
2000-03-27,5203.16,5286.81,5126.35,5146.3,4.880000000000109,0.09491541247359514,2000,3,0,27
2000-03-28,5094.17,5156.23,5044.17,5156.12,9.819999999999709,0.19081670326253075,2000,3,1,28
2000-03-29,5233.76,5233.76,5080.45,5102.46,-53.659999999999854,-1.0407050262600581,2000,3,2,29
2000-03-30,4984.1,5058.44,4891.4,5041.08,-61.38000000000011,-1.202949165696543,2000,3,3,30
2000-03-31,4892.43,5022.24,4867.23,5001.28,-39.80000000000018,-0.789513358248628,2000,3,4,31
2000-04-03,5070.5,5085.0,4977.21,5052.94,51.659999999999854,1.032935568494464,2000,4,0,3
2000-04-04,4907.41,4907.41,4666.95,4691.46,-361.47999999999956,-7.153854983435382,2000,4,1,4
2000-04-05,4616.36,4852.45,4601.58,4757.06,65.60000000000036,1.3982853951648444,2000,4,2,5
2000-04-06,4899.45,4899.45,4608.11,4866.73,109.66999999999916,2.3054155297599577,2000,4,3,6
2000-04-07,4987.1,5222.8,4987.1,5219.2,352.47000000000025,7.24243999564389,2000,4,4,7
2000-04-10,5481.49,5532.54,5435.35,5442.86,223.65999999999985,4.285331085223776,2000,4,0,10
2000-04-11,5428.7,5541.82,5368.2,5541.54,98.68000000000029,1.8130174209882277,2000,4,1,11
2000-04-12,5502.42,5542.81,5416.19,5426.82,-114.72000000000025,-2.070182656806596,2000,4,2,12
2000-04-13,5130.18,5205.69,5106.23,5172.13,-254.6899999999996,-4.693172060248907,2000,4,3,13
